iter	Passed	Remaining
388	2076	592
389	2081	587
390	2086	581
391	2090	575
392	2095	570
393	2100	565
394	2104	559
395	2109	553
396	2114	548
397	2118	542
398	2122	537
399	2128	532
400	2133	526
401	2137	521
402	2143	515
403	2147	510
404	2152	504
405	2157	499
406	2161	493
407	2166	488
408	2170	482
409	2175	477
410	2179	471
411	2183	466
412	2188	461
413	2193	455
414	2197	450
415	2202	444
416	2206	439
417	2210	433
418	2216	428
419	2221	423
420	2225	417
421	2230	412
422	2234	406
423	2239	401
424	2243	395
425	2247	390
426	2252	385
427	2257	379
428	2262	374
429	2267	369
430	2271	363
431	2275	358
432	2280	352
433	2284	347
434	2288	342
435	2293	336
436	2299	331
437	2303	326
438	2308	320
439	2313	315
440	2318	310
441	2323	304
442	2328	299
443	2333	294
444	2337	288
445	2342	283
446	2346	278
447	2350	272
448	2355	267
449	2360	262
450	2364	256
451	2368	251
452	2372	246
453	2377	240
454	2381	235
455	2385	230
456	2391	224
457	2395	219
458	2399	214
459	2403	209
460	2408	203
461	2412	198
462	2417	193
463	2421	187
464	2425	182
465	2430	177
466	2434	172
467	2439	166
468	2443	161
469	2448	156
470	2453	151
471	2457	145
472	2462	140
473	2466	135
474	2471	130
475	2476	124
476	2480	119
477	2486	114
478	2490	109
479	2494	103
480	2499	98
481	2503	93
482	2507	88
483	2512	83
484	2517	77
485	2522	72
486	2526	67
487	2531	62
488	2536	57
489	2540	51
490	2544	46
491	2549	41
492	2554	36
493	2558	31
494	2563	25
495	2567	20
496	2571	15
497	2575	10
498	2580	5
499	2585	0
