iter	Logloss
0	0.6408820286
1	0.6045566256
2	0.5714574297
3	0.5425269869
4	0.5220700182
5	0.503723621
6	0.4848449321
7	0.4708180762
8	0.4538672456
9	0.444257215
10	0.4338872233
11	0.4278963998
12	0.4195657822
13	0.4126031754
14	0.4035497644
15	0.3944814702
16	0.3887089619
17	0.3837009538
18	0.3798820053
19	0.3779069099
20	0.3722038074
21	0.3660843113
22	0.3628523736
23	0.359488396
24	0.3547021373
25	0.3519647272
26	0.3485013917
27	0.3415687259
28	0.3374768951
29	0.3322195479
30	0.3295376586
31	0.3250914755
32	0.3222548571
33	0.3177205202
34	0.3146640494
35	0.3107946649
36	0.3075159066
37	0.3032215166
38	0.3016197093
39	0.2992436676
40	0.295454392
41	0.2919556501
42	0.2900392218
43	0.2873300552
44	0.2849471687
45	0.2818727078
46	0.2797088706
47	0.2776887922
48	0.2735974598
49	0.2682110828
50	0.2667261774
51	0.2642687328
52	0.2621319579
53	0.2603130368
54	0.2575254775
55	0.254931384
56	0.2540576163
57	0.2529662974
58	0.2515035608
59	0.2494656713
60	0.2477126359
61	0.2458130444
62	0.2447999004
63	0.2418518508
64	0.2409547358
65	0.2394235051
66	0.2377477576
67	0.2356722542
68	0.2353443875
69	0.2336966312
70	0.2325918054
71	0.2312406881
72	0.2281874855
73	0.2269310329
74	0.2254265704
75	0.2229395962
76	0.2204549627
77	0.2189483243
78	0.2169719149
79	0.2157387482
80	0.2137377348
81	0.2112672388
82	0.2085196866
83	0.206460428
84	0.2044140511
85	0.2027897589
86	0.2014388705
87	0.1997229624
88	0.1989535112
89	0.1979445529
90	0.196075988
91	0.1941882356
92	0.1926751085
93	0.1904167429
94	0.189610152
95	0.1857488468
96	0.183949285
97	0.1827709379
98	0.1799518028
99	0.1783721076
100	0.1769420171
101	0.1748819655
102	0.1742316314
103	0.1717828156
104	0.1701905365
105	0.168955389
106	0.1677362319
107	0.1659617408
108	0.1650317495
109	0.1637188123
110	0.1622187563
111	0.1610395784
112	0.1601966985
113	0.1569733074
114	0.1549429531
115	0.1534258815
116	0.1518853139
117	0.1499838693
118	0.1486644912
119	0.1478368946
120	0.1461241038
121	0.1449671507
122	0.1428432666
123	0.142117225
124	0.1409646569
125	0.1402426746
126	0.1391869988
127	0.1384462454
128	0.1381805892
129	0.1376863554
130	0.1357705854
131	0.1350001162
132	0.1334651617
133	0.1323613517
134	0.1302336256
135	0.1287232991
136	0.128052081
137	0.1272911641
138	0.1266281743
139	0.1246163921
140	0.1236085155
141	0.1228053038
142	0.1211699637
143	0.1207226534
144	0.1201524233
145	0.119477777
146	0.1186596819
147	0.1173305864
148	0.1164030823
149	0.1154689074
150	0.1146517809
151	0.1131618845
152	0.1116835925
153	0.1108687699
154	0.1101820365
155	0.1085357084
156	0.1081943401
157	0.1074853654
158	0.1067375187
159	0.1056016463
160	0.1039768757
161	0.1027476591
162	0.1022783611
163	0.101292788
164	0.1009605399
165	0.1004940516
166	0.09993281612
167	0.09938747589
168	0.09809212321
169	0.09769179927
170	0.09644590856
171	0.09610326061
172	0.09530770169
173	0.09442682816
174	0.09382877078
175	0.0935757132
176	0.09289717122
177	0.09236386957
178	0.09197869524
179	0.09074004989
180	0.09045918608
181	0.08984824688
182	0.08916937456
183	0.08857564427
184	0.08809580893
185	0.08723155423
186	0.08628095417
187	0.08542381171
188	0.0848260591
189	0.0842688632
190	0.08343774994
191	0.082497574
192	0.08200145785
193	0.0812038004
194	0.08036310791
195	0.07996498375
196	0.07979808368
197	0.07972657445
198	0.0789018466
199	0.07842262939
200	0.07798321188
201	0.07765895774
202	0.07707725264
203	0.07651376192
204	0.07604596115
205	0.07521423012
206	0.07477881078
207	0.07426956838
208	0.0732076052
209	0.07276404206
210	0.0725793682
211	0.07206026903
212	0.07169218936
213	0.07123333938
214	0.07078298354
215	0.07066590933
216	0.07027062348
217	0.06948103802
218	0.06874513821
219	0.06810269445
220	0.06789317867
221	0.0675347222
222	0.06721253078
223	0.06648426389
224	0.06633423257
225	0.06586747745
226	0.06561215437
227	0.06530233027
228	0.06499774258
229	0.06471388055
230	0.06426722593
231	0.06357761382
232	0.06315317433
233	0.06273973466
234	0.06220484803
235	0.06167242314
236	0.06127089612
237	0.06081021552
238	0.06027828027
239	0.05997423736
240	0.05930203325
241	0.05902508653
242	0.05872277888
243	0.05831548356
244	0.057929746
245	0.05775651617
246	0.0573582922
247	0.05701014853
248	0.05641104407
249	0.05610248081
250	0.05574910855
251	0.05546122057
252	0.05491381908
253	0.05461300091
254	0.05423805431
255	0.0537856172
256	0.05345044496
257	0.05320722476
258	0.05289622344
259	0.05251438454
260	0.05200788085
261	0.05184585878
262	0.05140343018
263	0.05121161516
264	0.05081161435
265	0.05034443016
266	0.05007072312
267	0.04981185464
268	0.0495335459
269	0.04933775726
270	0.04899162564
271	0.04846670122
272	0.04818312768
273	0.04801721853
274	0.04790598064
275	0.04761001088
276	0.04750990596
277	0.04729092613
278	0.04713333628
279	0.0468540016
280	0.04652499101
281	0.04598208471
282	0.0457428928
283	0.045459382
284	0.04515594825
285	0.04496003646
286	0.04471814893
287	0.04436539427
288	0.04410459112
289	0.04393768028
290	0.04376395252
291	0.0434330641
292	0.04314121559
293	0.04283704506
294	0.04268786824
295	0.04241218837
296	0.0418782366
297	0.04174686161
298	0.04156292117
299	0.04129941647
300	0.04104010042
301	0.04056875522
302	0.04029362198
303	0.04018457565
304	0.03983190284
305	0.03957053964
306	0.03933363683
307	0.03899688658
308	0.03865257448
309	0.03848029579
310	0.0384121451
311	0.03805790011
312	0.03779616159
313	0.03752952898
314	0.0374196621
315	0.03724762957
316	0.03710575099
317	0.03692690478
318	0.03678668106
319	0.03644902922
320	0.03631886719
321	0.03610564024
322	0.03583781911
323	0.03558157402
324	0.03551826814
325	0.03542542411
326	0.03521113922
327	0.03504579727
328	0.03482236679
329	0.03468837002
330	0.03450597937
331	0.03423261217
332	0.03399389635
333	0.03386404752
334	0.03376638184
335	0.03357773872
336	0.03344335286
337	0.033034644
338	0.03282631642
339	0.03267747872
340	0.03247292095
341	0.0321826366
342	0.03198989802
343	0.03177997497
344	0.03165985048
345	0.03145746036
346	0.03134268239
347	0.03110668017
348	0.03098251274
349	0.03070656201
350	0.03053751114
351	0.03027806114
352	0.03014368182
353	0.03007321006
354	0.0299754995
355	0.02979203535
356	0.02957610644
357	0.02938480178
358	0.02916388918
359	0.02908251404
360	0.0288182392
361	0.02845568016
362	0.02833815524
363	0.02822137263
364	0.02809353413
365	0.02789247489
366	0.02776210015
367	0.02765795675
368	0.02750048413
369	0.02720300321
370	0.02716604539
371	0.02707274665
372	0.02693310696
373	0.02687643192
374	0.02677295744
375	0.02667100497
376	0.02655970758
377	0.02641927358
378	0.02628870939
379	0.02614994954
380	0.02611505121
381	0.02599526187
382	0.0258503675
383	0.02570226237
384	0.02565167217
385	0.02555303498
386	0.02539968341
387	0.02529492734
388	0.02507435343
389	0.0248777481
390	0.02475173705
391	0.02468278897
392	0.02456110023
393	0.02443923394
394	0.02428378342
395	0.02422344096
396	0.024154734
397	0.02403457174
398	0.02392067079
399	0.02381578273
400	0.02369998983
401	0.02357377815
402	0.023487403
403	0.02325597053
404	0.02314138716
405	0.02303584751
406	0.02295833273
407	0.02288160903
408	0.02280963429
409	0.02271727078
410	0.02263713677
411	0.02255443939
412	0.02247118678
413	0.02238921289
414	0.0222635306
415	0.02214082936
416	0.02205443472
417	0.02202094071
418	0.0219079116
419	0.02186874111
420	0.02176150624
421	0.02165964258
422	0.02153952769
423	0.02142128224
424	0.0213537359
425	0.02133146781
426	0.02130014204
427	0.02117180791
428	0.02111051329
429	0.02109040491
430	0.02103927975
431	0.02097618777
432	0.02091402855
433	0.02082343893
434	0.02077784729
435	0.02066751371
436	0.020570133
437	0.02046718186
438	0.02039404709
439	0.02034450704
440	0.02019310584
441	0.02005706281
442	0.01999963611
443	0.01983853481
444	0.01975814365
445	0.0196454045
446	0.01951900994
447	0.01942884845
448	0.01936054398
449	0.01924062793
450	0.01916471397
451	0.01911904516
452	0.01903832487
453	0.01898945197
454	0.01887272824
455	0.01879086615
456	0.0187418527
457	0.01867189572
458	0.01862768765
459	0.01857030711
460	0.01854665891
461	0.01848341615
462	0.01840728088
463	0.01831749893
464	0.01816757883
465	0.01811811055
466	0.01805621113
467	0.01798363212
468	0.01794427861
469	0.01785604509
470	0.01773472426
471	0.01767284125
472	0.01763715246
473	0.01761669422
474	0.01754681964
475	0.01746560219
476	0.01728703602
477	0.01725419397
478	0.01720444919
479	0.01713322902
480	0.01707942472
481	0.01707425414
482	0.01702559928
483	0.01696708944
484	0.0169064023
485	0.01682720715
486	0.01673584505
487	0.01669407409
488	0.01663925791
489	0.01660594107
490	0.01655084418
491	0.01647225667
492	0.01642536229
493	0.01638278704
494	0.01635389056
495	0.01628121158
496	0.01617169098
497	0.01605389077
498	0.01599348927
499	0.01593278954
